Department,SubCategory,Name,Description
Beauty and Personal Care, Hair Care, SilkShine Shampoo, "Nourishing shampoo for smooth and shiny hair"
Beauty and Personal Care, Skincare, HydraGlow Serum, "Vitamin C serum for radiant and healthy skin"
Electronics, Laptops, SwiftBook Pro 16, "Lightweight laptop with powerful specs for professionals"
Electronics, Mobile Phones, Galaxy Ultra 12, "Latest model with high-res camera and fast charging"
Clothing and Apparel, Shoes, Oxford Dress Shoes, "Classy brown Oxfords from Boston Shoes"
Sports and Outdoors, Cycling, Velocity Road Bike, "Lightweight aluminum road bike with carbon fork"
Sports and Outdoors, Fitness Equipment, FlexiTread Treadmill, "Compact foldable treadmill with app integration"
Home and Kitchen, Blenders, TurboMix Blender, "High-speed blender ideal for smoothies and sauces"
Home and Kitchen, Coffee Makers, BrewMaster 3000, "Automatic coffee machine with timer and grinder"
Garden and Outdoors, Grills and BBQ, Silver Browman Grill, "Classic outdoor grill from Browman"
Automotive, Car Accessories, SmartDash Cam, "HD dash cam with GPS and loop recording"
Automotive, Tools and Equipment, PowerMax Jump Starter, "Portable car battery jump starter with flashlight"
